,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.975,60.92,41.209,65.986,77.283,44.284,77.276,81.989,52.124,65.274,77.264,50.434,73.272,79.666,73.883,79.633,93.266,56.524,33.95,9.526,903529.0,231085.0,65239.0,6932.0,1252.0,752.0,211.0,11116.0,57.08,58.877,54.574,63.917,619208.0,515406.0,349560.0,968768.0,1134614.0,8053.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,0.44700000000000273,0.09199999999999875,0.6740000000000066,0.06799999999999784,0.06799999999999784,0.5959999999999965,0.6610000000000014,0.02200000000000557,0.4540000000000006,0.48399999999999466,0.06300000000000239,0.4159999999999968,0.04100000000001103,-0.0020000000000095497,0.02199999999999136,0.018000000000000682,0.007000000000005002,0.09100000000000108,-0.13599999999999568,0.04519999999999946,202.0,-202.0,-55.0,-215.0,2.0,-3.0,1.0,-45.0,0.036999999999999034,0.6780000000000044,0.6319999999999979,0.7310000000000016,7178.0,-7178.0,-7031.0,147.0,0.0,84.0,0.0
