,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.697,60.823,40.818,65.909,77.224,43.916,76.922,81.973,51.846,64.976,77.209,50.167,73.226,79.665,73.855,79.602,93.267,56.388,34.131,9.4808,903173.0,231441.0,65200.0,7138.0,1249.0,756.0,210.0,11198.0,57.039,58.441,54.159,63.457,614501.0,520113.0,353872.0,968373.0,1134614.0,8012.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,0.16900000000000404,-0.005000000000002558,0.28300000000000125,-0.009000000000000341,0.009000000000000341,0.22799999999999443,0.30700000000000216,0.006000000000000227,0.17599999999999483,0.18599999999999284,0.008000000000009777,0.1490000000000009,-0.0049999999999954525,-0.0030000000000001137,-0.006000000000000227,-0.012999999999991019,0.007999999999995566,-0.045000000000001705,0.045000000000001705,0.0,-154.0,154.0,-94.0,-9.0,-1.0,1.0,0.0,37.0,-0.003999999999997783,0.24200000000000443,0.21699999999999875,0.2710000000000008,2471.0,-2471.0,-2719.0,-248.0,0.0,43.0,0.0
