,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,46.455,60.282,36.008,65.405,77.047,39.152,73.438,81.943,48.5,60.983,77.007,46.961,72.66,79.678,73.544,79.218,93.317,55.124,35.124,9.7517,898813.0,235801.0,64369.0,10028.0,1221.0,778.0,216.0,12330.0,56.562,53.042,49.035,57.762,556358.0,578256.0,406824.0,963182.0,1134614.0,8522.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-3.0730000000000004,-0.5460000000000065,-4.526999999999994,-0.5130000000000052,-0.16800000000000637,-4.536000000000001,-3.1769999999999925,-0.02400000000000091,-3.1700000000000017,-3.8070000000000093,-0.1939999999999884,-3.057000000000002,-0.570999999999998,0.009999999999990905,-0.3170000000000073,-0.39699999999999136,0.057999999999992724,-1.3089999999999975,1.0380000000000038,0.27089999999999925,-4514.0,4514.0,-925.0,2881.0,-29.0,23.0,6.0,1169.0,-0.48100000000000165,-5.1569999999999965,-4.907000000000004,-5.4239999999999995,-55672.0,55672.0,50233.0,-5439.0,0.0,553.0,0.0
