,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,47.763,60.619,37.838,65.737,77.121,40.997,74.996,81.946,49.848,62.625,77.093,48.279,73.081,79.642,73.805,79.522,93.293,56.163,34.357,9.4808,902268.0,232346.0,64868.0,8215.0,1244.0,761.0,210.0,11470.0,56.892,55.201,51.127,59.981,580097.0,554517.0,387039.0,967136.0,1134614.0,8233.0,2215.0
Original,50.508,60.66,42.272,65.802,77.108,45.549,77.113,81.956,52.718,66.239,77.124,51.086,72.965,79.668,73.666,79.502,93.161,56.253,34.266,9.4808,902039.0,232575.0,66215.0,7957.0,1246.0,759.0,210.0,11363.0,56.8,59.694,55.317,64.822,627639.0,506975.0,340615.0,968254.0,1134614.0,7566.0,2215.0
Diff,-2.7450000000000045,-0.04099999999999682,-4.4339999999999975,-0.06500000000001194,0.012999999999991019,-4.552,-2.1170000000000044,-0.010000000000005116,-2.8700000000000045,-3.6140000000000043,-0.0309999999999917,-2.806999999999995,0.11599999999999966,-0.02600000000001046,0.13900000000001,0.020000000000010232,0.132000000000005,-0.09000000000000341,0.09100000000000108,0.0,229.0,-229.0,-1347.0,258.0,-2.0,2.0,0.0,107.0,0.09200000000000585,-4.493000000000002,-4.189999999999998,-4.841000000000001,-47542.0,47542.0,46424.0,-1118.0,0.0,667.0,0.0
