,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Original,50.508,60.66,42.272,65.802,77.108,45.549,77.113,81.956,52.718,66.239,77.124,51.086,72.965,79.668,73.666,79.502,93.161,56.253,34.266,9.4808,902039.0,232575.0,66215.0,7957.0,1246.0,759.0,210.0,11363.0,56.8,59.694,55.317,64.822,627639.0,506975.0,340615.0,968254.0,1134614.0,7566.0,2215.0
Diff,-0.980000000000004,0.16800000000000637,-1.7370000000000019,0.11599999999999966,0.10699999999999932,-1.860999999999997,-0.49800000000000466,0.01099999999999568,-1.0480000000000018,-1.448999999999998,0.07699999999999818,-1.0679999999999978,0.26599999999999113,0.0,0.1950000000000074,0.11299999999999955,0.09799999999999898,0.17999999999999972,-0.17999999999999972,0.0,1288.0,-1288.0,-921.0,-810.0,4.0,-4.0,0.0,-202.0,0.2430000000000021,-1.4950000000000045,-1.375,-1.6360000000000028,-15609.0,15609.0,15976.0,367.0,0.0,403.0,0.0
