,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,46.499,60.292,36.069,65.413,77.054,39.231,73.6,81.942,48.545,61.027,77.011,46.998,72.671,79.69,73.571,79.232,93.332,55.169,35.124,9.7065,898979.0,235635.0,64228.0,10212.0,1222.0,778.0,215.0,12315.0,56.579,52.944,48.945,57.655,555337.0,579277.0,407870.0,963207.0,1134614.0,8519.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-3.0289999999999964,-0.5360000000000014,-4.465999999999994,-0.5050000000000097,-0.16100000000000136,-4.457000000000001,-3.0150000000000006,-0.025000000000005684,-3.125,-3.7630000000000052,-0.18999999999999773,-3.020000000000003,-0.5599999999999881,0.02199999999999136,-0.29000000000000625,-0.38299999999999557,0.07299999999999329,-1.264000000000003,1.0380000000000038,0.2256999999999998,-4348.0,4348.0,-1066.0,3065.0,-28.0,23.0,5.0,1154.0,-0.46399999999999864,-5.2549999999999955,-4.997,-5.530999999999999,-56693.0,56693.0,51279.0,-5414.0,0.0,550.0,0.0
