,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.709,60.825,40.835,65.911,77.225,43.934,76.937,81.973,51.857,64.988,77.211,50.178,73.227,79.665,73.856,79.602,93.268,56.433,34.086,9.4808,903178.0,231436.0,65195.0,7141.0,1250.0,755.0,210.0,11198.0,57.04,58.454,54.172,63.472,614644.0,519970.0,353729.0,968373.0,1134614.0,8013.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,0.1810000000000045,-0.0030000000000001137,0.30000000000000426,-0.007000000000005002,0.009999999999990905,0.2459999999999951,0.32200000000000273,0.006000000000000227,0.1869999999999976,0.1979999999999933,0.010000000000005116,0.1599999999999966,-0.003999999999990678,-0.0030000000000001137,-0.005000000000009663,-0.012999999999991019,0.009000000000000341,0.0,0.0,0.0,-149.0,149.0,-99.0,-6.0,0.0,0.0,0.0,37.0,-0.0030000000000001137,0.25500000000000256,0.22999999999999687,0.28600000000000136,2614.0,-2614.0,-2862.0,-248.0,0.0,44.0,0.0
