,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.459,60.823,40.427,65.898,77.253,43.514,76.597,81.988,51.592,64.66,77.234,49.939,73.181,79.67,73.841,79.571,93.282,56.433,34.041,9.526,902825.0,231789.0,65019.0,7480.0,1250.0,754.0,211.0,11240.0,57.005,57.993,53.731,62.99,609643.0,524971.0,358201.0,967844.0,1134614.0,7984.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-0.06899999999999551,-0.005000000000002558,-0.10799999999999699,-0.020000000000010232,0.0379999999999967,-0.1739999999999995,-0.018000000000000682,0.021000000000000796,-0.07800000000000296,-0.13000000000000966,0.03300000000000125,-0.07900000000000063,-0.04999999999999716,0.001999999999995339,-0.020000000000010232,-0.04399999999999693,0.022999999999996135,0.0,-0.045000000000001705,0.04519999999999946,-502.0,502.0,-275.0,333.0,0.0,-1.0,1.0,79.0,-0.0379999999999967,-0.20599999999999596,-0.21099999999999852,-0.19599999999999795,-2387.0,2387.0,1610.0,-777.0,0.0,15.0,0.0
