,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,46.675,60.342,36.314,65.461,77.071,39.462,73.856,81.949,48.726,61.25,77.031,47.181,72.752,79.693,73.609,79.272,93.332,55.169,35.124,9.7065,899433.0,235181.0,64254.0,9725.0,1222.0,778.0,215.0,12237.0,56.654,53.396,49.374,58.132,560209.0,574405.0,403478.0,963687.0,1134614.0,8524.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-2.8530000000000015,-0.4860000000000042,-4.2209999999999965,-0.45700000000000784,-0.14400000000000546,-4.225999999999999,-2.7590000000000003,-0.018000000000000682,-2.9440000000000026,-3.5400000000000063,-0.1699999999999875,-2.8370000000000033,-0.4789999999999992,0.024999999999991473,-0.25200000000000955,-0.3429999999999893,0.07299999999999329,-1.264000000000003,1.0380000000000038,0.2256999999999998,-3894.0,3894.0,-1040.0,2578.0,-28.0,23.0,5.0,1076.0,-0.3889999999999958,-4.802999999999997,-4.567999999999998,-5.054000000000002,-51821.0,51821.0,46887.0,-4934.0,0.0,555.0,0.0
