,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,46.856,60.338,36.589,65.491,76.999,39.758,73.572,81.919,48.925,61.562,76.968,47.383,72.805,79.654,73.655,79.355,93.298,55.621,34.763,9.6163,900372.0,234242.0,64674.0,9647.0,1232.0,770.0,213.0,11718.0,56.659,53.83,49.807,58.559,565119.0,569495.0,399927.0,965046.0,1134614.0,8159.0,2215.0
Original,50.508,60.66,42.272,65.802,77.108,45.549,77.113,81.956,52.718,66.239,77.124,51.086,72.965,79.668,73.666,79.502,93.161,56.253,34.266,9.4808,902039.0,232575.0,66215.0,7957.0,1246.0,759.0,210.0,11363.0,56.8,59.694,55.317,64.822,627639.0,506975.0,340615.0,968254.0,1134614.0,7566.0,2215.0
Diff,-3.652000000000001,-0.3219999999999956,-5.683,-0.31100000000000705,-0.10900000000000887,-5.790999999999997,-3.540999999999997,-0.03700000000000614,-3.7930000000000064,-4.677000000000007,-0.1559999999999917,-3.702999999999996,-0.1599999999999966,-0.014000000000010004,-0.01099999999999568,-0.14699999999999136,0.13700000000000045,-0.6319999999999979,0.4969999999999999,0.1355000000000004,-1667.0,1667.0,-1541.0,1690.0,-14.0,11.0,3.0,355.0,-0.14099999999999824,-5.864000000000004,-5.509999999999998,-6.263000000000005,-62520.0,62520.0,59312.0,-3208.0,0.0,593.0,0.0
