,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,47.334,60.453,37.265,65.589,77.056,40.502,73.887,81.937,49.413,62.098,77.032,47.835,72.881,79.658,73.706,79.413,93.296,55.711,34.763,9.526,901027.0,233587.0,64749.0,9361.0,1234.0,770.0,211.0,11673.0,56.726,54.699,50.63,59.481,574450.0,560164.0,391326.0,965776.0,1134614.0,8039.0,2215.0
Original,50.508,60.66,42.272,65.802,77.108,45.549,77.113,81.956,52.718,66.239,77.124,51.086,72.965,79.668,73.666,79.502,93.161,56.253,34.266,9.4808,902039.0,232575.0,66215.0,7957.0,1246.0,759.0,210.0,11363.0,56.8,59.694,55.317,64.822,627639.0,506975.0,340615.0,968254.0,1134614.0,7566.0,2215.0
Diff,-3.1739999999999995,-0.20699999999999363,-5.006999999999998,-0.21300000000000807,-0.05200000000000671,-5.046999999999997,-3.225999999999999,-0.019000000000005457,-3.305000000000007,-4.141000000000005,-0.09199999999999875,-3.2509999999999977,-0.08400000000000318,-0.010000000000005116,0.04000000000000625,-0.08899999999999864,0.13500000000000512,-0.5420000000000016,0.4969999999999999,0.04519999999999946,-1012.0,1012.0,-1466.0,1404.0,-12.0,11.0,1.0,310.0,-0.07399999999999807,-4.9950000000000045,-4.686999999999998,-5.341000000000001,-53189.0,53189.0,50711.0,-2478.0,0.0,473.0,0.0
