,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.445,60.815,40.409,65.891,77.244,43.508,76.455,81.984,51.578,64.654,77.226,49.93,73.18,79.677,73.844,79.573,93.283,56.479,33.995,9.526,902852.0,231762.0,65009.0,7529.0,1251.0,753.0,211.0,11258.0,57.009,57.994,53.732,62.99,609656.0,524958.0,358205.0,967861.0,1134614.0,7978.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-0.08299999999999841,-0.01300000000000523,-0.12599999999999767,-0.027000000000001023,0.028999999999996362,-0.17999999999999972,-0.1599999999999966,0.016999999999995907,-0.09199999999999875,-0.1360000000000099,0.025000000000005684,-0.08800000000000097,-0.05099999999998772,0.009000000000000341,-0.017000000000010118,-0.04200000000000159,0.02400000000000091,0.045999999999999375,-0.09100000000000108,0.04519999999999946,-475.0,475.0,-285.0,382.0,1.0,-2.0,1.0,97.0,-0.03399999999999892,-0.2049999999999983,-0.21000000000000085,-0.19599999999999795,-2374.0,2374.0,1614.0,-760.0,0.0,9.0,0.0
