,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.262,60.719,40.174,65.815,77.202,43.216,76.486,81.983,51.398,64.461,77.183,49.753,73.083,79.663,73.772,79.511,93.268,56.208,34.266,9.526,902142.0,232472.0,65114.0,7816.0,1245.0,759.0,211.0,11370.0,56.913,57.583,53.336,62.564,605155.0,529459.0,362101.0,967256.0,1134614.0,7967.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-0.26599999999999824,-0.10900000000000176,-0.3609999999999971,-0.10300000000000864,-0.01300000000000523,-0.4720000000000013,-0.12899999999999068,0.016000000000005343,-0.27199999999999847,-0.32900000000000773,-0.01799999999998647,-0.26500000000000057,-0.14799999999999613,-0.005000000000009663,-0.08899999999999864,-0.1039999999999992,0.009000000000000341,-0.22500000000000142,0.17999999999999972,0.04519999999999946,-1185.0,1185.0,-180.0,669.0,-5.0,4.0,1.0,209.0,-0.13000000000000256,-0.6159999999999997,-0.6060000000000016,-0.6219999999999999,-6875.0,6875.0,5510.0,-1365.0,0.0,-2.0,0.0
