,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.564,60.835,40.589,65.925,77.218,43.736,76.692,81.968,51.707,64.831,77.204,50.052,73.239,79.668,73.866,79.62,93.259,56.479,34.041,9.4808,903385.0,231229.0,65294.0,7113.0,1251.0,754.0,210.0,11157.0,57.05,58.248,53.989,63.237,612568.0,522046.0,356111.0,968679.0,1134614.0,7972.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,0.036000000000001364,0.006999999999997897,0.054000000000002046,0.006999999999990791,0.0030000000000001137,0.047999999999994714,0.07699999999999818,0.0010000000000047748,0.036999999999999034,0.04099999999999682,0.0030000000000001137,0.03399999999999892,0.008000000000009777,0.0,0.0049999999999954525,0.005000000000009663,0.0,0.045999999999999375,-0.045000000000001705,0.0,58.0,-58.0,0.0,-34.0,1.0,-1.0,0.0,-4.0,0.006999999999997897,0.04899999999999949,0.046999999999997044,0.05100000000000193,538.0,-538.0,-480.0,58.0,0.0,3.0,0.0
