,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.382,60.762,40.341,65.862,77.198,43.421,76.566,81.975,51.523,64.624,77.181,49.877,73.172,79.665,73.817,79.567,93.261,56.524,33.995,9.4808,902775.0,231839.0,65237.0,7323.0,1252.0,753.0,210.0,11262.0,56.992,57.794,53.551,62.768,607599.0,527015.0,360413.0,968012.0,1134614.0,7984.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-0.1460000000000008,-0.0660000000000025,-0.1939999999999955,-0.056000000000011596,-0.017000000000010118,-0.267000000000003,-0.04899999999999238,0.007999999999995566,-0.14699999999999847,-0.16600000000001103,-0.01999999999999602,-0.14099999999999824,-0.0589999999999975,-0.0030000000000001137,-0.04400000000001114,-0.04800000000000182,0.001999999999995339,0.09100000000000108,-0.09100000000000108,0.0,-552.0,552.0,-57.0,176.0,2.0,-2.0,0.0,101.0,-0.05100000000000193,-0.40500000000000114,-0.39099999999999824,-0.41799999999999926,-4431.0,4431.0,3822.0,-609.0,0.0,15.0,0.0
