,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,48.979,60.771,39.682,65.863,77.208,42.815,76.141,81.973,51.101,64.072,77.186,49.455,73.189,79.679,73.852,79.58,93.286,56.298,34.176,9.526,902922.0,231692.0,64983.0,7527.0,1247.0,757.0,211.0,11302.0,57.017,57.168,52.968,62.091,600985.0,533629.0,366920.0,967905.0,1134614.0,8055.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-0.5489999999999995,-0.05700000000000216,-0.8529999999999944,-0.05500000000000682,-0.007000000000005002,-0.8730000000000047,-0.47399999999998954,0.006000000000000227,-0.5690000000000026,-0.7180000000000035,-0.014999999999986358,-0.5630000000000024,-0.04200000000000159,0.01099999999999568,-0.009000000000000341,-0.03499999999999659,0.027000000000001023,-0.134999999999998,0.09000000000000341,0.04519999999999946,-405.0,405.0,-311.0,380.0,-3.0,2.0,1.0,141.0,-0.02599999999999625,-1.0309999999999988,-0.9739999999999966,-1.0949999999999989,-11045.0,11045.0,10329.0,-716.0,0.0,86.0,0.0
