,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,47.771,59.993,38.24,64.832,77.466,41.088,77.016,82.055,49.768,62.368,77.32,48.222,71.965,79.761,72.802,78.247,93.495,53.363,36.704,9.9323,887801.0,246813.0,61774.0,9504.0,1182.0,813.0,220.0,14200.0,56.128,55.409,50.891,60.808,577416.0,557198.0,372159.0,949575.0,1134614.0,9881.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-1.756999999999998,-0.8350000000000009,-2.2949999999999946,-1.0860000000000127,0.25099999999999056,-2.6000000000000014,0.40100000000001046,0.08800000000000807,-1.902000000000001,-2.422000000000004,0.11899999999999977,-1.7959999999999994,-1.2659999999999911,0.09299999999998931,-1.0589999999999975,-1.367999999999995,0.2360000000000042,-3.0700000000000003,2.618000000000002,0.45149999999999935,-15526.0,15526.0,-3520.0,2357.0,-68.0,58.0,10.0,3039.0,-0.9149999999999991,-2.789999999999999,-3.051000000000002,-2.378,-34614.0,34614.0,15568.0,-19046.0,0.0,1912.0,0.0
