,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.016,60.782,39.733,65.872,77.214,42.843,76.272,81.976,51.137,64.123,77.192,49.498,73.198,79.679,73.856,79.584,93.286,56.298,34.176,9.526,902971.0,231643.0,64986.0,7473.0,1247.0,757.0,211.0,11302.0,57.026,57.165,52.967,62.087,600971.0,533643.0,366986.0,967957.0,1134614.0,8057.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-0.5120000000000005,-0.04600000000000648,-0.8019999999999996,-0.04600000000000648,-0.0010000000000047748,-0.8449999999999989,-0.3429999999999893,0.009000000000000341,-0.5330000000000013,-0.6670000000000016,-0.009000000000000341,-0.5200000000000031,-0.03300000000000125,0.01099999999999568,-0.005000000000009663,-0.0309999999999917,0.027000000000001023,-0.134999999999998,0.09000000000000341,0.04519999999999946,-356.0,356.0,-308.0,326.0,-3.0,2.0,1.0,141.0,-0.016999999999995907,-1.033999999999999,-0.9750000000000014,-1.0989999999999966,-11059.0,11059.0,10395.0,-664.0,0.0,88.0,0.0
