,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.509,60.829,40.503,65.919,77.216,43.654,76.599,81.969,51.649,64.763,77.203,49.999,73.226,79.668,73.86,79.615,93.259,56.433,34.086,9.4808,903318.0,231296.0,65295.0,7190.0,1250.0,755.0,210.0,11172.0,57.039,58.165,53.91,63.149,611667.0,522947.0,356946.0,968613.0,1134614.0,7970.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-0.01899999999999835,0.0009999999999976694,-0.031999999999996476,0.000999999999990564,0.000999999999990564,-0.03399999999999892,-0.015999999999991132,0.001999999999995339,-0.021000000000000796,-0.027000000000001023,0.0020000000000095497,-0.01899999999999835,-0.0049999999999954525,0.0,-0.0010000000000047748,0.0,0.0,0.0,0.0,0.0,-9.0,9.0,1.0,43.0,0.0,0.0,0.0,11.0,-0.003999999999997783,-0.03399999999999892,-0.03200000000000358,-0.036999999999999034,-363.0,363.0,355.0,-8.0,0.0,1.0,0.0
