,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.759,60.839,40.908,65.92,77.235,44.019,76.965,81.976,51.908,65.054,77.219,50.234,73.231,79.665,73.858,79.604,93.268,56.433,34.086,9.4808,903197.0,231417.0,65193.0,7113.0,1250.0,755.0,210.0,11192.0,57.044,58.533,54.246,63.557,615478.0,519136.0,352912.0,968390.0,1134614.0,8016.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,0.23100000000000165,0.01099999999999568,0.37300000000000466,0.001999999999995339,0.01999999999999602,0.33099999999999596,0.3500000000000085,0.009000000000000341,0.23799999999999955,0.2639999999999958,0.018000000000000682,0.21600000000000108,0.0,-0.0030000000000001137,-0.0030000000000001137,-0.01099999999999568,0.009000000000000341,0.0,0.0,0.0,-130.0,130.0,-101.0,-34.0,0.0,0.0,0.0,31.0,0.0009999999999976694,0.3340000000000032,0.30400000000000205,0.3710000000000022,3448.0,-3448.0,-3679.0,-231.0,0.0,47.0,0.0
