,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,47.878,60.001,38.407,64.831,77.483,41.227,77.166,82.059,49.876,62.466,77.335,48.308,71.969,79.756,72.806,78.239,93.508,53.273,36.795,9.9323,887706.0,246908.0,61634.0,9507.0,1180.0,815.0,220.0,14266.0,56.13,55.542,51.007,60.961,578730.0,555884.0,370610.0,949340.0,1134614.0,9923.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-1.6499999999999986,-0.8270000000000053,-2.128,-1.0870000000000033,0.2680000000000007,-2.4610000000000056,0.5510000000000019,0.09199999999999875,-1.794000000000004,-2.324000000000005,0.13400000000000034,-1.7100000000000009,-1.2620000000000005,0.08799999999999386,-1.0550000000000068,-1.3759999999999906,0.24899999999999523,-3.1599999999999966,2.709000000000003,0.45149999999999935,-15621.0,15621.0,-3660.0,2360.0,-70.0,60.0,10.0,3105.0,-0.9129999999999967,-2.6569999999999965,-2.9350000000000023,-2.2250000000000014,-33300.0,33300.0,14019.0,-19281.0,0.0,1954.0,0.0
