,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,47.364,60.43,37.327,65.574,77.036,40.604,73.79,81.931,49.448,62.142,77.014,47.858,72.869,79.649,73.689,79.406,93.285,55.621,34.853,9.526,900946.0,233668.0,64857.0,9302.0,1232.0,772.0,211.0,11667.0,56.71,54.806,50.729,59.595,575573.0,559041.0,390230.0,965803.0,1134614.0,8039.0,2215.0
Original,50.508,60.66,42.272,65.802,77.108,45.549,77.113,81.956,52.718,66.239,77.124,51.086,72.965,79.668,73.666,79.502,93.161,56.253,34.266,9.4808,902039.0,232575.0,66215.0,7957.0,1246.0,759.0,210.0,11363.0,56.8,59.694,55.317,64.822,627639.0,506975.0,340615.0,968254.0,1134614.0,7566.0,2215.0
Diff,-3.1440000000000055,-0.22999999999999687,-4.945,-0.22800000000000864,-0.07200000000000273,-4.945,-3.3229999999999933,-0.025000000000005684,-3.270000000000003,-4.097000000000001,-0.10999999999999943,-3.2280000000000015,-0.09600000000000364,-0.019000000000005457,0.022999999999996135,-0.09599999999998943,0.12399999999999523,-0.6319999999999979,0.5870000000000033,0.04519999999999946,-1093.0,1093.0,-1358.0,1345.0,-14.0,13.0,1.0,304.0,-0.0899999999999963,-4.888000000000005,-4.588000000000001,-5.227000000000004,-52066.0,52066.0,49615.0,-2451.0,0.0,473.0,0.0
