,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,45.62,59.762,35.028,64.699,77.247,37.943,74.246,82.004,47.576,59.728,77.126,46.066,71.828,79.75,72.838,78.297,93.482,53.409,36.659,9.9323,888367.0,246247.0,61938.0,11455.0,1183.0,812.0,220.0,14202.0,55.973,51.911,47.695,56.945,541152.0,593462.0,409153.0,950305.0,1134614.0,9746.0,2215.0
Original,50.508,60.66,42.272,65.802,77.108,45.549,77.113,81.956,52.718,66.239,77.124,51.086,72.965,79.668,73.666,79.502,93.161,56.253,34.266,9.4808,902039.0,232575.0,66215.0,7957.0,1246.0,759.0,210.0,11363.0,56.8,59.694,55.317,64.822,627639.0,506975.0,340615.0,968254.0,1134614.0,7566.0,2215.0
Diff,-4.888000000000005,-0.8979999999999961,-7.244,-1.1030000000000086,0.1389999999999958,-7.606000000000002,-2.8670000000000044,0.04800000000000182,-5.142000000000003,-6.511000000000003,0.0020000000000095497,-5.019999999999996,-1.1370000000000005,0.08199999999999363,-0.828000000000003,-1.2049999999999983,0.32099999999999795,-2.844000000000001,2.3930000000000007,0.45149999999999935,-13672.0,13672.0,-4277.0,3498.0,-63.0,53.0,10.0,2839.0,-0.8269999999999982,-7.783000000000001,-7.622,-7.8770000000000024,-86487.0,86487.0,68538.0,-17949.0,0.0,2180.0,0.0
