,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,46.706,60.321,36.371,65.467,77.021,39.679,73.558,81.941,48.768,61.314,76.995,47.208,72.782,79.665,73.633,79.316,93.314,55.44,34.989,9.5711,899928.0,234686.0,64476.0,9658.0,1228.0,775.0,212.0,12053.0,56.653,53.747,49.715,58.49,564079.0,570535.0,400325.0,964404.0,1134614.0,8293.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-2.8219999999999956,-0.507000000000005,-4.163999999999994,-0.4510000000000076,-0.19400000000000261,-4.009,-3.056999999999988,-0.02599999999999625,-2.902000000000001,-3.476000000000006,-0.20599999999998886,-2.8100000000000023,-0.44899999999999807,-0.0030000000000001137,-0.22800000000000864,-0.2989999999999924,0.05499999999999261,-0.9930000000000021,0.9029999999999987,0.09029999999999916,-3399.0,3399.0,-818.0,2511.0,-22.0,20.0,2.0,892.0,-0.39000000000000057,-4.451999999999998,-4.226999999999997,-4.695999999999998,-47951.0,47951.0,43734.0,-4217.0,0.0,324.0,0.0
