,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.637,60.86,40.691,65.943,77.235,43.848,76.795,81.973,51.779,64.917,77.219,50.128,73.248,79.669,73.871,79.625,93.26,56.479,34.086,9.4357,903437.0,231177.0,65288.0,7070.0,1251.0,755.0,209.0,11150.0,57.059,58.347,54.081,63.343,613615.0,520999.0,355110.0,968725.0,1134614.0,7979.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,0.10900000000000176,0.031999999999996476,0.1560000000000059,0.024999999999991473,0.01999999999999602,0.1599999999999966,0.18000000000000682,0.006000000000000227,0.10900000000000176,0.12699999999999534,0.018000000000000682,0.10999999999999943,0.017000000000010118,0.000999999999990564,0.009999999999990905,0.010000000000005116,0.0010000000000047748,0.045999999999999375,0.0,-0.045099999999999696,110.0,-110.0,-6.0,-77.0,1.0,0.0,-1.0,-11.0,0.015999999999998238,0.14800000000000324,0.1390000000000029,0.15700000000000358,1585.0,-1585.0,-1481.0,104.0,0.0,10.0,0.0
