,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.584,60.847,40.615,65.934,77.226,43.76,76.762,81.971,51.726,64.848,77.211,50.07,73.244,79.668,73.87,79.624,93.26,56.479,34.086,9.4357,903424.0,231190.0,65288.0,7096.0,1251.0,755.0,209.0,11156.0,57.055,58.264,54.005,63.254,612746.0,521868.0,355966.0,968712.0,1134614.0,7978.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,0.05600000000000449,0.01899999999999835,0.0800000000000054,0.015999999999991132,0.01099999999999568,0.07199999999999562,0.14700000000000557,0.0040000000000048885,0.055999999999997385,0.057999999999992724,0.010000000000005116,0.0519999999999996,0.01300000000000523,0.0,0.009000000000000341,0.009000000000000341,0.0010000000000047748,0.045999999999999375,0.0,-0.045099999999999696,97.0,-97.0,-6.0,-51.0,1.0,0.0,-1.0,-5.0,0.012000000000000455,0.06500000000000483,0.06300000000000239,0.06799999999999784,716.0,-716.0,-625.0,91.0,0.0,9.0,0.0
