,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.6,60.808,40.667,65.896,77.218,43.77,76.771,81.972,51.745,64.861,77.205,50.076,73.207,79.665,73.845,79.591,93.266,56.343,34.131,9.526,903054.0,231560.0,65200.0,7234.0,1248.0,756.0,211.0,11218.0,57.022,58.307,54.032,63.316,613059.0,521555.0,355195.0,968254.0,1134614.0,8006.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,0.07200000000000273,-0.020000000000003126,0.132000000000005,-0.02200000000000557,0.0030000000000001137,0.08200000000000074,0.1560000000000059,0.0049999999999954525,0.07499999999999574,0.07099999999999795,0.0040000000000048885,0.05799999999999983,-0.02400000000000091,-0.0030000000000001137,-0.016000000000005343,-0.02400000000000091,0.007000000000005002,-0.0899999999999963,0.045000000000001705,0.04519999999999946,-273.0,273.0,-94.0,87.0,-2.0,1.0,1.0,57.0,-0.021000000000000796,0.10800000000000409,0.0899999999999963,0.13000000000000256,1029.0,-1029.0,-1396.0,-367.0,0.0,37.0,0.0
