,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,46.465,60.277,36.028,65.428,76.999,39.139,73.353,81.931,48.522,61.013,76.964,46.958,72.756,79.676,73.632,79.303,93.327,55.485,34.808,9.7065,899782.0,234832.0,64338.0,9940.0,1229.0,771.0,215.0,11982.0,56.639,53.054,49.067,57.744,556726.0,577888.0,407394.0,964120.0,1134614.0,8362.0,2215.0
Original,50.508,60.66,42.272,65.802,77.108,45.549,77.113,81.956,52.718,66.239,77.124,51.086,72.965,79.668,73.666,79.502,93.161,56.253,34.266,9.4808,902039.0,232575.0,66215.0,7957.0,1246.0,759.0,210.0,11363.0,56.8,59.694,55.317,64.822,627639.0,506975.0,340615.0,968254.0,1134614.0,7566.0,2215.0
Diff,-4.042999999999999,-0.38299999999999557,-6.244,-0.37400000000000944,-0.10900000000000887,-6.409999999999997,-3.760000000000005,-0.025000000000005684,-4.196000000000005,-5.226000000000006,-0.1599999999999966,-4.128,-0.20900000000000318,0.007999999999995566,-0.033999999999991815,-0.19899999999999807,0.16599999999999682,-0.7680000000000007,0.5420000000000016,0.2256999999999998,-2257.0,2257.0,-1877.0,1983.0,-17.0,12.0,5.0,619.0,-0.16099999999999426,-6.640000000000001,-6.25,-7.078000000000003,-70913.0,70913.0,66779.0,-4134.0,0.0,796.0,0.0
