,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,47.269,60.404,37.196,65.543,77.055,40.435,73.881,81.95,49.349,61.981,77.033,47.746,72.824,79.66,73.632,79.346,93.282,55.937,34.492,9.5711,900276.0,234338.0,64835.0,9172.0,1239.0,764.0,212.0,11860.0,56.685,54.566,50.49,59.357,572865.0,561749.0,392246.0,965111.0,1134614.0,8090.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-2.2590000000000003,-0.4239999999999995,-3.3389999999999986,-0.375,-0.1599999999999966,-3.253,-2.7339999999999947,-0.016999999999995907,-2.321000000000005,-2.8090000000000046,-0.16799999999999216,-2.2719999999999985,-0.4069999999999965,-0.008000000000009777,-0.2289999999999992,-0.26899999999999125,0.022999999999996135,-0.4960000000000022,0.4059999999999988,0.09029999999999916,-3051.0,3051.0,-459.0,2025.0,-11.0,9.0,2.0,699.0,-0.357999999999997,-3.6329999999999956,-3.451999999999998,-3.8290000000000006,-39165.0,39165.0,35655.0,-3510.0,0.0,121.0,0.0
