,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.078,60.729,39.87,65.835,77.184,42.943,76.288,81.975,51.21,64.242,77.169,49.575,73.148,79.663,73.807,79.552,93.266,56.479,33.995,9.526,902604.0,232010.0,65175.0,7483.0,1251.0,753.0,211.0,11314.0,56.969,57.393,53.174,62.34,603314.0,531300.0,364465.0,967779.0,1134614.0,7984.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-0.44999999999999574,-0.09900000000000375,-0.6649999999999991,-0.08300000000001262,-0.03100000000000591,-0.7450000000000045,-0.3269999999999982,0.007999999999995566,-0.46000000000000085,-0.5480000000000018,-0.031999999999996476,-0.44299999999999784,-0.08299999999999841,-0.005000000000009663,-0.054000000000002046,-0.06299999999998818,0.007000000000005002,0.045999999999999375,-0.09100000000000108,0.04519999999999946,-723.0,723.0,-119.0,336.0,1.0,-2.0,1.0,153.0,-0.07399999999999807,-0.8059999999999974,-0.7680000000000007,-0.8459999999999965,-8716.0,8716.0,7874.0,-842.0,0.0,15.0,0.0
