,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,48.896,60.771,39.544,65.876,77.191,42.732,75.843,81.973,51.017,64.018,77.172,49.404,73.213,79.678,73.876,79.609,93.282,56.388,34.086,9.526,903253.0,231361.0,65046.0,7521.0,1249.0,755.0,211.0,11231.0,57.035,57.168,52.978,62.078,601096.0,533518.0,367203.0,968299.0,1134614.0,8008.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-0.6319999999999979,-0.05700000000000216,-0.9909999999999997,-0.04200000000000159,-0.02400000000000091,-0.9560000000000031,-0.7719999999999914,0.006000000000000227,-0.6529999999999987,-0.7720000000000056,-0.028999999999996362,-0.6139999999999972,-0.018000000000000682,0.009999999999990905,0.015000000000000568,-0.006000000000000227,0.022999999999996135,-0.045000000000001705,0.0,0.04519999999999946,-74.0,74.0,-248.0,374.0,-1.0,0.0,1.0,70.0,-0.008000000000002672,-1.0309999999999988,-0.9639999999999986,-1.107999999999997,-10934.0,10934.0,10612.0,-322.0,0.0,39.0,0.0
