,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.69,60.811,40.815,65.9,77.216,43.917,76.879,81.97,51.84,64.975,77.202,50.163,73.22,79.665,73.851,79.598,93.267,56.388,34.086,9.526,903126.0,231488.0,65200.0,7158.0,1249.0,755.0,211.0,11200.0,57.034,58.429,54.147,63.446,614360.0,520254.0,353966.0,968326.0,1134614.0,8008.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,0.16199999999999903,-0.017000000000003013,0.28000000000000114,-0.018000000000000682,0.000999999999990564,0.2289999999999992,0.26400000000001,0.0030000000000001137,0.1700000000000017,0.18499999999998806,0.0010000000000047748,0.14499999999999602,-0.01099999999999568,-0.0030000000000001137,-0.010000000000005116,-0.016999999999995907,0.007999999999995566,-0.045000000000001705,0.0,0.04519999999999946,-201.0,201.0,-94.0,11.0,-1.0,0.0,1.0,39.0,-0.009000000000000341,0.23000000000000398,0.2049999999999983,0.259999999999998,2330.0,-2330.0,-2625.0,-295.0,0.0,39.0,0.0
