,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,46.156,59.795,35.838,64.67,77.363,38.794,74.645,82.034,48.112,60.303,77.215,46.562,71.765,79.765,72.757,78.175,93.519,53.183,36.795,10.023,886985.0,247629.0,61472.0,11261.0,1178.0,815.0,222.0,14596.0,55.946,52.744,48.417,57.92,549349.0,585265.0,399108.0,948457.0,1134614.0,9911.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-3.372,-1.0330000000000013,-4.696999999999996,-1.2480000000000047,0.14799999999999613,-4.8940000000000055,-1.9699999999999989,0.06700000000000728,-3.558,-4.487000000000009,0.014000000000010004,-3.456000000000003,-1.465999999999994,0.0969999999999942,-1.1039999999999992,-1.4399999999999977,0.2600000000000051,-3.25,2.709000000000003,0.5421999999999993,-16342.0,16342.0,-3822.0,4114.0,-72.0,60.0,12.0,3435.0,-1.0970000000000013,-5.454999999999998,-5.524999999999999,-5.265999999999998,-62681.0,62681.0,42517.0,-20164.0,0.0,1942.0,0.0
