,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,46.05,59.743,35.708,64.672,77.257,38.687,74.517,82.009,48.025,60.26,77.129,46.478,71.812,79.758,72.822,78.266,93.496,53.409,36.569,10.023,888016.0,246598.0,61772.0,11451.0,1183.0,810.0,222.0,14361.0,55.97,52.507,48.23,57.615,547224.0,587390.0,402564.0,949788.0,1134614.0,9823.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-3.4780000000000015,-1.0850000000000009,-4.826999999999998,-1.2460000000000093,0.04200000000000159,-5.001000000000005,-2.097999999999999,0.04200000000000159,-3.645000000000003,-4.530000000000008,-0.07199999999998852,-3.539999999999999,-1.418999999999997,0.0899999999999892,-1.0390000000000015,-1.3489999999999895,0.23699999999999477,-3.024000000000001,2.483000000000004,0.5421999999999993,-15311.0,15311.0,-3522.0,4304.0,-67.0,55.0,12.0,3200.0,-1.0730000000000004,-5.692,-5.712000000000003,-5.570999999999998,-64806.0,64806.0,45973.0,-18833.0,0.0,1854.0,0.0
