,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,46.021,59.749,35.66,64.594,77.402,38.562,74.767,82.044,47.964,60.078,77.236,46.402,71.663,79.759,72.684,78.068,93.547,52.867,37.156,9.9774,885776.0,248838.0,61097.0,11585.0,1171.0,823.0,221.0,14932.0,55.861,52.574,48.225,57.786,547162.0,587452.0,399711.0,946873.0,1134614.0,10102.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-3.506999999999998,-1.0790000000000006,-4.875,-1.3240000000000123,0.1869999999999976,-5.126000000000005,-1.847999999999999,0.07699999999999818,-3.706000000000003,-4.712000000000003,0.0350000000000108,-3.6159999999999997,-1.5679999999999978,0.09099999999999397,-1.1770000000000067,-1.546999999999997,0.2879999999999967,-3.5660000000000025,3.0700000000000003,0.49659999999999904,-17551.0,17551.0,-4197.0,4438.0,-79.0,68.0,11.0,3771.0,-1.1820000000000022,-5.625,-5.716999999999999,-5.399999999999999,-64868.0,64868.0,43120.0,-21748.0,0.0,2133.0,0.0
