,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,48.947,60.753,39.642,65.861,77.187,42.725,76.183,81.976,51.074,64.081,77.174,49.454,73.16,79.671,73.818,79.572,93.256,56.433,34.086,9.4808,902836.0,231778.0,65292.0,7459.0,1250.0,755.0,210.0,11261.0,56.984,57.178,52.983,62.094,601149.0,533465.0,366979.0,968128.0,1134614.0,7932.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-0.580999999999996,-0.07500000000000284,-0.8929999999999936,-0.05700000000000216,-0.028000000000005798,-0.963000000000001,-0.43199999999998795,0.009000000000000341,-0.5960000000000036,-0.7090000000000032,-0.026999999999986812,-0.5640000000000001,-0.07099999999999795,0.0030000000000001137,-0.043000000000006366,-0.042999999999992156,-0.0030000000000001137,0.0,0.0,0.0,-491.0,491.0,-2.0,312.0,0.0,0.0,0.0,100.0,-0.0589999999999975,-1.0210000000000008,-0.9590000000000032,-1.0919999999999987,-10881.0,10881.0,10388.0,-493.0,0.0,-37.0,0.0
