,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.043,60.799,39.767,65.886,77.223,42.874,76.375,81.976,51.164,64.152,77.2,49.526,73.209,79.679,73.865,79.592,93.288,56.298,34.176,9.526,903064.0,231550.0,64977.0,7445.0,1247.0,757.0,211.0,11289.0,57.035,57.215,53.015,62.137,601513.0,533101.0,366528.0,968041.0,1134614.0,8070.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-0.48499999999999943,-0.029000000000003467,-0.7679999999999936,-0.03200000000001069,0.007999999999995566,-0.8140000000000001,-0.23999999999999488,0.009000000000000341,-0.5060000000000002,-0.6380000000000052,-0.000999999999990564,-0.49199999999999733,-0.02199999999999136,0.01099999999999568,0.003999999999990678,-0.022999999999996135,0.028999999999996362,-0.134999999999998,0.09000000000000341,0.04519999999999946,-263.0,263.0,-317.0,298.0,-3.0,2.0,1.0,128.0,-0.008000000000002672,-0.9839999999999947,-0.9269999999999996,-1.0489999999999995,-10517.0,10517.0,9937.0,-580.0,0.0,101.0,0.0
