,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,46.333,59.859,36.072,64.75,77.345,39.03,74.757,82.025,48.299,60.552,77.203,46.748,71.871,79.761,72.846,78.281,93.508,53.454,36.569,9.9774,888185.0,246429.0,61667.0,11056.0,1184.0,810.0,221.0,14336.0,56.028,53.004,48.689,58.16,552430.0,582184.0,397422.0,949852.0,1134614.0,9757.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-3.1950000000000003,-0.9690000000000012,-4.462999999999994,-1.1680000000000064,0.12999999999999545,-4.658000000000001,-1.8579999999999899,0.058000000000006935,-3.371000000000002,-4.238000000000007,0.0020000000000095497,-3.270000000000003,-1.3599999999999994,0.09299999999998931,-1.0150000000000006,-1.333999999999989,0.24899999999999523,-2.978999999999999,2.483000000000004,0.49659999999999904,-15142.0,15142.0,-3627.0,3909.0,-66.0,55.0,11.0,3175.0,-1.0150000000000006,-5.195,-5.253,-5.026000000000003,-59600.0,59600.0,40831.0,-18769.0,0.0,1788.0,0.0
