,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.415,60.334,40.718,65.499,76.237,43.78,76.839,81.28,51.613,65.395,76.304,49.899,73.354,78.692,73.93,79.922,93.025,56.84,33.679,9.4808,906805.0,227809.0,67988.0,6537.0,1259.0,746.0,210.0,7178.0,56.324,58.81,54.668,63.631,620273.0,514341.0,354520.0,974793.0,1134614.0,8058.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-0.11299999999999955,-0.4939999999999998,0.18300000000000693,-0.41900000000001114,-0.9780000000000086,0.09199999999999875,0.22400000000000375,-0.6869999999999976,-0.05700000000000216,0.6049999999999898,-0.8969999999999914,-0.11899999999999977,0.12300000000000466,-0.9760000000000133,0.06900000000000261,0.30700000000000216,-0.23399999999999466,0.4070000000000036,-0.4069999999999965,0.0,3478.0,-3478.0,2694.0,-610.0,9.0,-9.0,0.0,-3983.0,-0.7190000000000012,0.6110000000000042,0.7259999999999991,0.4450000000000003,8243.0,-8243.0,-2071.0,6172.0,0.0,89.0,0.0
