,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.645,60.808,40.744,65.896,77.216,43.857,76.81,81.97,51.793,64.915,77.202,50.116,73.214,79.665,73.848,79.594,93.266,56.343,34.131,9.526,903087.0,231527.0,65200.0,7186.0,1248.0,756.0,211.0,11204.0,57.029,58.367,54.089,63.38,613700.0,520914.0,354587.0,968287.0,1134614.0,8007.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,0.11700000000000443,-0.020000000000003126,0.20900000000000318,-0.02200000000000557,0.000999999999990564,0.16899999999999693,0.1950000000000074,0.0030000000000001137,0.12299999999999756,0.125,0.0010000000000047748,0.09799999999999898,-0.016999999999995907,-0.0030000000000001137,-0.01300000000000523,-0.021000000000000796,0.007000000000005002,-0.0899999999999963,0.045000000000001705,0.04519999999999946,-240.0,240.0,-94.0,39.0,-2.0,1.0,1.0,43.0,-0.013999999999995794,0.16799999999999926,0.14699999999999847,0.19400000000000261,1670.0,-1670.0,-2004.0,-334.0,0.0,38.0,0.0
