,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,48.115,60.627,38.399,65.721,77.167,41.528,75.496,81.96,50.209,62.996,77.13,48.589,73.035,79.669,73.764,79.466,93.305,55.892,34.582,9.526,901630.0,232984.0,64699.0,8260.0,1238.0,766.0,211.0,11669.0,56.879,55.622,51.497,60.465,584294.0,550320.0,382035.0,966329.0,1134614.0,8332.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-1.4129999999999967,-0.2010000000000005,-2.1359999999999957,-0.19700000000000273,-0.04800000000000182,-2.1600000000000037,-1.1189999999999998,-0.007000000000005002,-1.4609999999999985,-1.794000000000004,-0.07099999999999795,-1.429000000000002,-0.19599999999999795,0.000999999999990564,-0.09700000000000841,-0.1490000000000009,0.04600000000000648,-0.5409999999999968,0.4960000000000022,0.04519999999999946,-1697.0,1697.0,-595.0,1113.0,-12.0,11.0,1.0,508.0,-0.16400000000000148,-2.576999999999998,-2.4450000000000003,-2.7209999999999965,-27736.0,27736.0,25444.0,-2292.0,0.0,363.0,0.0
