,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.704,60.817,40.833,65.904,77.22,43.936,76.906,81.971,51.853,64.988,77.206,50.175,73.222,79.665,73.853,79.599,93.267,56.388,34.086,9.526,903139.0,231475.0,65197.0,7155.0,1249.0,755.0,211.0,11192.0,57.036,58.456,54.173,63.475,614650.0,519964.0,353686.0,968336.0,1134614.0,8014.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,0.17600000000000193,-0.011000000000002785,0.2980000000000018,-0.014000000000010004,0.0049999999999954525,0.24799999999999756,0.291000000000011,0.0040000000000048885,0.18299999999999983,0.1979999999999933,0.005000000000009663,0.15699999999999648,-0.009000000000000341,-0.0030000000000001137,-0.008000000000009777,-0.015999999999991132,0.007999999999995566,-0.045000000000001705,0.0,0.04519999999999946,-188.0,188.0,-97.0,8.0,-1.0,0.0,1.0,31.0,-0.006999999999997897,0.257000000000005,0.23100000000000165,0.2890000000000015,2620.0,-2620.0,-2905.0,-285.0,0.0,45.0,0.0
