,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.854,60.932,41.0,66.003,77.276,44.118,77.125,81.985,51.999,65.137,77.257,50.323,73.287,79.669,73.893,79.653,93.257,56.569,33.95,9.4808,903753.0,230861.0,65348.0,6884.0,1253.0,752.0,210.0,11064.0,57.092,58.702,54.42,63.715,617462.0,517152.0,351639.0,969101.0,1134614.0,8006.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,0.3260000000000005,0.1039999999999992,0.4650000000000034,0.08499999999999375,0.06099999999999284,0.4299999999999997,0.5100000000000051,0.018000000000000682,0.3290000000000006,0.3469999999999942,0.056000000000011596,0.3049999999999997,0.056000000000011596,0.000999999999990564,0.031999999999996476,0.038000000000010914,-0.001999999999995339,0.13600000000000279,-0.13599999999999568,0.0,426.0,-426.0,54.0,-263.0,3.0,-3.0,0.0,-97.0,0.04899999999999949,0.5030000000000001,0.47800000000000153,0.5290000000000035,5432.0,-5432.0,-4952.0,480.0,0.0,37.0,0.0
