,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,47.162,60.448,37.01,65.595,77.039,40.173,74.301,81.93,49.242,61.888,77.005,47.657,72.983,79.663,73.761,79.453,93.314,55.892,34.537,9.5711,901487.0,233127.0,64588.0,8823.0,1238.0,765.0,212.0,11678.0,56.824,54.094,50.077,58.813,568178.0,566436.0,397897.0,966075.0,1134614.0,8385.0,2215.0
Original,50.508,60.66,42.272,65.802,77.108,45.549,77.113,81.956,52.718,66.239,77.124,51.086,72.965,79.668,73.666,79.502,93.161,56.253,34.266,9.4808,902039.0,232575.0,66215.0,7957.0,1246.0,759.0,210.0,11363.0,56.8,59.694,55.317,64.822,627639.0,506975.0,340615.0,968254.0,1134614.0,7566.0,2215.0
Diff,-3.3460000000000036,-0.2119999999999962,-5.2620000000000005,-0.20700000000000784,-0.06900000000000261,-5.375999999999998,-2.8119999999999976,-0.02599999999999625,-3.476000000000006,-4.351000000000006,-0.11899999999999977,-3.429000000000002,0.018000000000000682,-0.005000000000009663,0.09499999999999886,-0.04899999999999238,0.1529999999999916,-0.3609999999999971,0.2710000000000008,0.09029999999999916,-552.0,552.0,-1627.0,866.0,-8.0,6.0,2.0,315.0,0.02400000000000091,-5.600000000000001,-5.240000000000002,-6.009,-59461.0,59461.0,57282.0,-2179.0,0.0,819.0,0.0
