,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,47.306,59.903,37.563,64.713,77.504,40.248,76.921,82.072,49.278,61.709,77.337,47.724,71.784,79.779,72.725,78.111,93.55,53.002,37.111,9.8871,886258.0,248356.0,61105.0,10685.0,1174.0,822.0,219.0,14655.0,55.989,54.611,50.105,60.008,568493.0,566121.0,378870.0,947363.0,1134614.0,9957.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-2.2220000000000013,-0.9250000000000043,-2.971999999999994,-1.2050000000000125,0.2890000000000015,-3.440000000000005,0.3060000000000116,0.10500000000000398,-2.392000000000003,-3.081000000000003,0.1360000000000099,-2.294000000000004,-1.4469999999999885,0.11099999999999,-1.13600000000001,-1.5039999999999907,0.2909999999999968,-3.4309999999999974,3.0249999999999986,0.4062999999999999,-17069.0,17069.0,-4189.0,3538.0,-76.0,67.0,9.0,3494.0,-1.054000000000002,-3.588000000000001,-3.8370000000000033,-3.1779999999999973,-43537.0,43537.0,22279.0,-21258.0,0.0,1988.0,0.0
