,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,46.735,60.343,36.407,65.487,77.027,39.526,73.567,81.938,48.799,61.346,76.993,47.232,72.834,79.684,73.681,79.35,93.332,55.44,34.898,9.6614,900315.0,234299.0,64318.0,9613.0,1228.0,773.0,214.0,11882.0,56.713,53.481,49.475,58.193,561351.0,573263.0,403282.0,964633.0,1134614.0,8323.0,2215.0
Original,50.508,60.66,42.272,65.802,77.108,45.549,77.113,81.956,52.718,66.239,77.124,51.086,72.965,79.668,73.666,79.502,93.161,56.253,34.266,9.4808,902039.0,232575.0,66215.0,7957.0,1246.0,759.0,210.0,11363.0,56.8,59.694,55.317,64.822,627639.0,506975.0,340615.0,968254.0,1134614.0,7566.0,2215.0
Diff,-3.7730000000000032,-0.31699999999999307,-5.865000000000002,-0.31500000000001194,-0.08100000000000307,-6.022999999999996,-3.5460000000000065,-0.018000000000000682,-3.919000000000004,-4.893000000000008,-0.13100000000000023,-3.853999999999999,-0.13100000000000023,0.015999999999991132,0.015000000000000568,-0.15200000000000102,0.17099999999999227,-0.8130000000000024,0.632000000000005,0.1806000000000001,-1724.0,1724.0,-1897.0,1656.0,-18.0,14.0,4.0,519.0,-0.08699999999999619,-6.213000000000001,-5.841999999999999,-6.629000000000005,-66288.0,66288.0,62667.0,-3621.0,0.0,757.0,0.0
