,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,43.898,60.746,31.956,65.61,77.583,33.537,82.284,82.081,45.75,56.689,77.555,43.965,72.272,79.737,73.195,78.882,93.276,54.673,35.847,9.4808,895001.0,239613.0,64523.0,10471.0,1211.0,794.0,210.0,18501.0,56.288,47.828,44.138,52.192,500791.0,633823.0,458733.0,959524.0,1134614.0,13160.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-5.6299999999999955,-0.08200000000000074,-8.578999999999997,-0.30800000000000693,0.367999999999995,-10.151000000000003,5.669000000000011,0.11400000000000432,-5.920000000000002,-8.101000000000006,0.3540000000000134,-6.052999999999997,-0.958999999999989,0.0689999999999884,-0.666000000000011,-0.7329999999999899,0.016999999999995907,-1.759999999999998,1.7610000000000028,0.0,-8326.0,8326.0,-771.0,3324.0,-39.0,39.0,0.0,7340.0,-0.7550000000000026,-10.370999999999995,-9.804000000000002,-10.994,-111239.0,111239.0,102142.0,-9097.0,0.0,5191.0,0.0
