,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,47.382,59.885,37.69,64.696,77.5,40.434,76.9,82.073,49.356,61.813,77.331,47.8,71.777,79.769,72.711,78.095,93.551,53.002,37.111,9.8871,886080.0,248534.0,61086.0,10605.0,1174.0,822.0,219.0,14676.0,55.977,54.734,50.212,60.15,569717.0,564897.0,377449.0,947166.0,1134614.0,9976.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-2.146000000000001,-0.943000000000005,-2.844999999999999,-1.2220000000000084,0.2849999999999966,-3.254000000000005,0.2850000000000108,0.10599999999999454,-2.314,-2.977000000000004,0.13000000000000966,-2.2180000000000035,-1.4539999999999935,0.10099999999999909,-1.1500000000000057,-1.519999999999996,0.2920000000000016,-3.4309999999999974,3.0249999999999986,0.4062999999999999,-17247.0,17247.0,-4208.0,3458.0,-76.0,67.0,9.0,3515.0,-1.0660000000000025,-3.4649999999999963,-3.729999999999997,-3.0360000000000014,-42313.0,42313.0,20858.0,-21455.0,0.0,2007.0,0.0
