,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
Clustered,49.061,60.819,39.781,65.899,77.237,42.9,76.346,81.98,51.179,64.168,77.212,49.546,73.215,79.679,73.868,79.595,93.288,56.343,34.131,9.526,903094.0,231520.0,64972.0,7417.0,1248.0,756.0,211.0,11286.0,57.041,57.255,53.052,62.18,601941.0,532673.0,366125.0,968066.0,1134614.0,8074.0,2215.0
Original,49.528,60.828,40.535,65.918,77.215,43.688,76.615,81.967,51.67,64.79,77.201,50.018,73.231,79.668,73.861,79.615,93.259,56.433,34.086,9.4808,903327.0,231287.0,65294.0,7147.0,1250.0,755.0,210.0,11161.0,57.043,58.199,53.942,63.186,612030.0,522584.0,356591.0,968621.0,1134614.0,7969.0,2215.0
Diff,-0.46699999999999875,-0.009000000000000341,-0.7539999999999978,-0.019000000000005457,0.02199999999999136,-0.7880000000000038,-0.26899999999999125,0.01300000000000523,-0.49099999999999966,-0.6219999999999999,0.01100000000000989,-0.4720000000000013,-0.015999999999991132,0.01099999999999568,0.006999999999990791,-0.01999999999999602,0.028999999999996362,-0.0899999999999963,0.045000000000001705,0.04519999999999946,-233.0,233.0,-322.0,270.0,-2.0,1.0,1.0,125.0,-0.0020000000000024443,-0.9439999999999955,-0.8900000000000006,-1.0060000000000002,-10089.0,10089.0,9534.0,-555.0,0.0,105.0,0.0
